title,description,channelTitle,channelSubscribers,viewCount
"한국버스로 세계여행 중, 유럽의 고속도로(?)에 감사함을 느끼는 요즘 - 이탈리아【5】","여행유튜버 #세계여행 #이탈리아 안녕하세요 여러분 ! 오늘은 이탈리아 안에 있는 또다른 나라, 세상에서 가장 작은 나라 중의 하나인 ...",지금게르,Unknown,20647
스페인 여행 갔다 갑자기 봉변…바르셀로나 시민 &#39;격분 상태&#39; / KBS 2024.07.09.,식당 야외 좌석에 앉아있던 관광객을 향해 한 무리의 사람들이 대뜸 물총을 쏘아댑니다. 한여름 관광지에서 기습적으로 벌어진 물총 ...,KBS News,Unknown,5036
지구상에서 가장 화려한 사막 걷기여행 [요르단 EP.2],"요르단 와디럼 사막을 걸어보자 촬영일 : 2024. 3. 13 - 14. 카메라 : Gopro11, 아이폰14Pro. 편집 : LumaFusion, KineMaster 음원 ...",차박차박 Chabak,Unknown,98062
처음 만난 콜롬비아 여자가 알려주는 수도 보고타의 현실 [콜롬비아2],갑자기 아파서 조금 업로드가 늦어졌습니다. 다시 열심히 올리겠습니다. 감사합니다. #여행유튜버 #중남미 #세계여행 인스타그램: ...,재호캉스 Jaeho Traveler,Unknown,1139529
중국인들이 한국인에게 놀랍도록 친절한 이유 [중국 20],중국 #여행유튜버 #선양 #세계여행 #세계일주.,세계는요지경 YOZIGYEONG,Unknown,178776
발끈한 비공식 안동 홍보대사가 직접 짠 안동여행 꿀 코스,안동 토박이로서 마음이 아파서 알찬 코스로 짜봤습니다 이 영상 하나로 안동 1박2일 여행을 끝장내 드리겠습니다 *본 영상은 '알디콤' ...,UPSub없섭,Unknown,173998
30대 여자 혼자 제주도 여행 장마 극복기,백수 육지것의 제주도 가본곳 주관적 리뷰 yukjigeot@gmail.com 천지연폭포 - 제주 서귀포시 천지동 667-7 새연교 - 제주 서귀포시 ...,육지것,Unknown,8562
[크루즈 전문가가 알려주는] 한국인이신가요? 올해 당장 크루즈 여행을 가고 싶으시다면 그냥 이 크루즈선 타세요_POLYTRIPS 최종걸 대표,폴리트립스 가입하고 크루즈 할인받자 www.polytrips.com 프로모션 코드 : CRUISE777 카카오톡 채널 [폴리트립스]로 문의주세요 ...,여행 다있#Shorts,Unknown,27273
"[선공개] ＂너무 좋다 이번 여행..＂ 서로에게 진심을 전하는 효리 모녀💌 〈엄마, 단둘이 여행 갈래?〉 7/7(일) 밤 9시 10분 방송!","[선공개] ＂너무 좋다 이번 여행..＂ 서로에게 진심을 전하는 효리 모녀   #엄마단둘이여행갈래 #JTBC예능 #이효리 〈엄마, 단둘이 ...",JTBC Entertainment,Unknown,24036
[미방분] 대결은 끝났지만 외장하드를 싸~악 털어봤습니다│지구마불 세계여행2 | TEO,"헤어지기 전 마지막 영상_최최종_완전굿바이 그냥 헤어지기 아쉬우니깐..(엉엉) 분명 미방분을 기다렸을 테니깐..(아님말고) 빠니보틀, ...",TEO 테오,Unknown,734374
나라가 좁아서 더 이상 갈 곳이 없다고?/여수여행/아르떼뮤지엄 [캠핑카생활44],안녕하세요~ 뚝딱입니다 :D 남편인 무명씨와 함께 르노 마스터에서 살게 되었습니다 캠핑카에서 살면 주소지는 어떻게 했냐는 질문을 ...,뚝지,Unknown,42576
임산부 비행기 좌석 이코노미로 비즈니스처럼 가는 꿀팁!!,,우리집사람,Unknown,865938
🇯🇵 일본여행 | 남들은 모르는 소도시 추천? 요즘 그런게 어딨어!! 여기 있음 #시모다,본격적인 여름이 시작되기 직전의 도쿄! 더욱 더 더워지기 전에 바다여행을 떠나봤는데요. 바다를 보며 달리는 열차를 타고 재밌는 ...,정세월드,Unknown,63893
"🇹🇭 #1 믿기 힘든 갓성비의 나라, 나홀로 치앙마이 여행 시작",,쏘이Soy The World,Unknown,157346
&quot;일본 여행 가려 했는데 어쩌나&quot;…&quot;올해는 이상할 정도&quot; 비상 / SBS 8뉴스,"〈앵커〉 옆 나라 일본은 장마가 잦아들고 더위가 시작됐습니다. 일부 지역의 기온이 섭씨 40도까지 치솟으면서 4명이 숨졌고, 열사병 ...",SBS 뉴스,Unknown,195625
"모녀 여행이 이뤄낸 변화? 여행이 끝난 뒤 전하는 엄마의 속마음 고백에 울컥하는 이효리😥｜엄마, 단둘이 여행 갈래?｜JTBC 240707 방송 외",여행 마지막 날 서로에게 진심을 고백하는 효리와 엄마 #엄마단둘이여행갈래 #이효리 #이효리엄마 [JTBC봐야지] 구독하기☞ ...,JTBC Voyage,Unknown,116036
혼자 도쿄여행이 험난한 이유,도쿄맛집 #혼밥.,홀로나나 NANA,Unknown,640728
2만원에 3끼 식사와 군산 선유도 유람선 타기 관광버스여행 (노인을 위한 서비스라는건 없습니다),너무나 저렴한 가격의 여행 이게 어떻게 가능할까 생각했습니다 역시나 사기였습니다. 싸구려 제품 수십 수백배 비싸게 팔앚먹는.,좋은친구들,Unknown,852500
[여행영어 거의 모든 표현] 공항/교통/호텔편 | 여행가기 전 이것만 보고 가세요!,온라인 강의 = http://www.estellenglish.com 에스텔 쌤의 체계적인 수업듣고 무료 코칭도 받자! (지금 가입하면 5만원 할인쿠폰) ...,에스텔잉글리쉬EstellEnglish,Unknown,19461
[4K] 아재 혼자 4박 5일 스위스 여행 몰아보기,"유레일패스 유럽기차여행 65박 68일 중 스위스 여행 영상입니다. 체르마트, 인터라켄, 융프라우, 피리스트, 하더쿨룸 여행일 2023년 5 ...",아재여행 Ajae Travel,Unknown,273430
하루 만에 3배 올랐다…심상치 않은 일본에 &quot;여행 괜찮나&quot;  #뉴스다 / JTBC News,0:00 후지산 '입장료' 3배 올리고 4000명 제한 (7.1 지금 이 뉴스) 1:22 가림막 세웠더니 구멍 뚫고 '찰칵'…관광객 몸살 앓는 후지산 ...,JTBC News,Unknown,849061
새벽부터 기다려야 먹을수 있는 1등 돈가스 연돈의 근황-국내여행8,안녕하세요 오늘은 새벽부터 기다려야 먹을수 있다던 연돈을 가봤습니다. #세계여행 #여행유튜버 #국내여행 ...,박엥겍 ParkEngKeck,Unknown,67263
[Full] 한국기행 - 나를 찾지 마 2부 오토바이 타고 해방 여행,복숭아의 고장으로 잘 알려진 충북 음성 감곡면. 과수원 사이 좁은 농로를 따라가다 보면 독특한 집 한 채가 나타난다. 벽에는 거대한 ...,EBSDocumentary (EBS 다큐),Unknown,6722
Day 36_3 / 악어의 맛 #미국 #여행 #자전거,shorts #여행 #자전거 #미국 #루이지애나 #미국횡단 자전거 미국 횡단 36일차.,온건,Unknown,73186
[✨NEW✨걸어서세계속으로📺] 구석구석 다채롭다 &#39;스페인&#39; 여행 Trip to Spain (KBS_20240622),"걸어서세계속으로 #스페인 #해외여행 [구석구석, 다채롭다 - 스페인] 다채로운 매력이 있는 곳, 스페인. 세계적인 화가 '살바도르 달리' ...",KBS여행 걸어서 세계속으로,Unknown,16881
"[은퇴 후 발칸반도] (2)슬로베니아 예쁜 도시들 여행하기 (블레드, 크란, 피란)",슬로베니아 #동유럽여행 #유로2024 #동유럽 #블레드 #피란 #류블랴나 #은퇴 #은퇴생활 #시니어 #시니어라이프 #시니어유튜버 ...,수길따라(sugilway),Unknown,101887
물가천국 🇻🇳 먹으러 가는 하노이 여행 🍜 한국에선 못 누릴 가성비! 5박6일 경비 공개,00:00 먹으러간 하노이 00:19 하노이 기본정보 01:29 벱 비엣 02:04 반미 25 02:37 짜까 탕롱 03:21 Hai San Seafood 68 03:55 분짜 ...,아일랜드 트래블러,Unknown,35240
모르면 손해! 센과치히로의 실제 온천 이용 꿀팁 ㅣ 마쓰야마 여행 가이드 EP. 01,여러분 센과 치히로의 행방불명 실제 온천이 한국인에게는 무료인 거 아시나요? 한국인들이 여행하기 좋은 일본의 소도시 '마쓰야마' ...,트리플,Unknown,6589
해외여행 하다 처음 만난 사람 집에 놀러가는 방법 - 🇹🇷 (몰아보기),인스타 : leonma_travel 이메일 : lozondia@gmail.com 시청 해주셔서 사랑합니다. #세계여행.,레온 트래블,Unknown,75163
[4K] 아재 혼자 18박 20일 호주 여행 몰아보기,호주 여름 여행입니다. 여행일 : 2023년 11월 26일 ~ 12월 15일 * 영상에 나오는 금액은 제가 여행할 때 환전했던 환율 기준입니다.,아재여행 Ajae Travel,Unknown,138365
여름휴가는 계곡이 최고! 가족여행 추천 계곡 ‘경상남도’ BEST 7  #국내여행 #트레킹 #travel #등산 #korea,"안녕하세요. 에스텔라스 채널에 오신것을 환영합니다. 자연의 넓은 풍경과 숨소리를 느낄 수 있는 힐링 채널입니다. 산책, 등산, 트래킹 ...",에스텔라스 Estellas,Unknown,12586
파리 시민들 &quot;올림픽 오지 마세요&quot;…국내 여행업계도 울상 [MBN 뉴스센터],【 앵커멘트 】 전 세계 최대의 스포츠 행사인 프랑스 파리 올림픽이 한 달 남짓 남았는데요. 그런데 정작 파리 시민들은 올림픽에 오지 ...,MBN News,Unknown,279072
한국 여자가 혼자 중국여행하면 생기는 일,안녕하세요! 잰잰바리입니다!! 오늘도 시청해주셔서 감사합니다!! insta : @jaeye0nyy mail : zanjan1010@gmail.com.,잰잰바리,Unknown,126890
지도 찍어 즉흥여행 따라해보기,지도 찍어 즉흥여행 따라해보기 #여행 #패러디 #인스타.,조충현,Unknown,107196
여행 중 짐을 잃어버렸다…,,솜찌 Somzzi,Unknown,97705
&quot;애도 안봐줄거면 왜왔어?&quot; 나이들어 자식과 여행가서 원수되어 돌아온 어머니 | 오디오북 | 라디오 | 사연 | 노후 | 부모자식 | 인생이야기,엄마. 너무 한거 아니야?” “뭐가 너무해?” “같이 여행왔으면….서로 의견을 조율해서 같이 다녀야지. 엄마는 그렇게 따로 다니고…,인생은 그저 소풍,Unknown,180343
"3박4일 백두산 여행 - 1일차 두만강, 용정, 다양한 풍경",3박4일 패키지 여행중 1일차 일정을 상세히 보여드립니다. - 기준일 : 2024. 5.28 - 두만강변 선착장 같은 큰 배는 운행 안하지만 배 옆 ...,트레킹 가이더,Unknown,56341
짠돌이남친이랑 이상한 제주도여행..,,광자,Unknown,115451
"＂그 점이 싫었다고!＂ 드디어 밝히는 이효리가 엄마를 그토록 원망했던 진짜 이유💔｜엄마, 단둘이 여행 갈래?｜JTBC 240630 방송 외",＂내 마음의 상처를 정확히 알았어＂ 엄마에게 털어놓는 이효리의 진짜 속마음 #엄마단둘이여행갈래 #이효리 #이효리엄마 [JTBC ...,JTBC Voyage,Unknown,616313
