title,description,channelTitle,channelSubscribers,viewCount
국내 1등 미친크기! 10kg 괴물떡볶이 도전먹방 20분안에 다먹으면 100만원?! Jumbo tteokbokki challenge mukbang,"국내 1등 미친크기! 10kg 괴물떡볶이 도전먹방 20분안에 다먹으면 100만원?! Jumbo tteokbokki challenge mukbang □매주 일,화, ...",상해기SangHyuk,Unknown,243255
치킨 먹은 다음 날 사망…필리핀 &#39;먹방 금지&#39; 검토｜지금 이 뉴스,필리핀에서 한 유명 크리에이터가 '먹방' 영상을 올린 다음 날 숨지자 보건당국이 '먹방' 금지를 검토하고 있습니다. 필리핀 내에서는 ...,JTBC News,Unknown,39445
[시골먹방] 장마철 오봇하게 모정에서 돼지목살구이 먹방 [Grilled Pork Shoulder] MUKBANG/EATING SHOW,인트로(Intro) 00:00 ~ 00:40 먹방시작(Start eating) 00:41~ 《먹두리 후원계좌》 농협 백성열 302 0303 0586 01 시청 후 구독 ...,"먹두리,Mukduri",Unknown,55106
주상욱이 출출할 때 먹는 초간단 간장국수,차예련 #주상욱 #웃긴쇼츠 #웃긴짤 #웃긴영상 #shorts #부부 #결혼 #남편 #다정한아빠 #아내 #아빠 #딸바보 #간장국수 #레시피 ...,차예련 chayeryun,Unknown,3452743
치토스로 체감되는 요즘 물가,shorts #과자 #치토스 #먹방 #물가 #snacks #cheetos #past #future #funny #comedy #memes instagram: yeongmin0917 business ...,진영민yeongmin,Unknown,9435652
손잡이부터 먹는 15만원짜리 치킨,For copyright matters and any suggestions be welcome at : yuzuya07@gmail.com and I'll get back to you ASAP.,아이앤지식,Unknown,3955315
SUB)꼬들칼칼한 열라면 5봉 도전! 라면 먹방🍜 계란에 매운생김치까지 야식 꿀조합 리얼사운드 Ramyeon Mukbang Asmr,"각국어 번역 자막 제작 : 컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너, CONTENTSFLY에서 제작 ...",문복희 Eat with Boki,Unknown,583609
아픈 이모티콘먹방😵😂Sick emoticon mukbang IB:@issei0806 #funny #shorts,,Byungari 병아리언니 ,Unknown,834722
"퇴근 후, 부장님과 양꼬치&amp;맥주 먹방! (양꼬치,꿔바로우,마파두부) / Lamb skewers&amp;Beer Mukbang! / Animation ASMR",오늘은 아빠와 회사 부장님과 함께 양꼬치&맥주 그리고 꿔바로우와 마파두부까지 맛있게 푸먹했어요~ 그럼 오늘도 재밌게 ...,푸먹_foomuk,Unknown,227141
두바이초콜릿이 CU에서 나왔다고?? 4000원을 주고 사먹을 만 할까?,쇼츠 #shorts.,이상한 과자가게  weird sweets shop,Unknown,1045556
"☆깍두기 볶음밥! 와~ 이건 꼭먹어보세요. 미쳤다 진짜, 시원한 오이냉국~ 메뉴좋다~!!",다정한부부♡계좌후원♡진심으로 감사드립니다 신협 전×× 132-078-310-323 다정한부부♡멤버쉽 가입♡ ...,다정한부부 a loving couple,Unknown,23971
"&quot;사장님 : 태어나서 밥 7공기 먹는 사람 처음봐요!!😲&quot; 청국장에 제육볶음, 오징어볶음이면 7공기도 더 먹을 수 있어요 ㅋㅋㅋ 만리 한식 먹방 mukbang",한식 #청국장 #제육볶음 #만리 #먹방 ✨비즈니스메일 : manli@alohamedia.co.kr ✨인스타그램 : manlipig 안녕하세요 여러분! 오늘은 ...,만리 manli,Unknown,117178
사장님이 혼낸다는 식당..? 안혼나는법 공유합니다..🥹,미니로운생활 #리뷰 #맛집 #먹방.,미니로운생활,Unknown,1117610
15. 햄버거세트로 삼시세끼,,고기남자,Unknown,3825498
CU 최초 대왕 라면 먹방 세팅해보자,,돼끼 baby_pig_rabbit,Unknown,272451
마라탕 비조리 포장의 장점과 단점은⁉️,마라탕 #마라탕먹방 #김채옹이 주인장 인스타: chaeong_2 룽지 인스타: nurungiii__.,김채옹이 CHONG,Unknown,163123
계란밥엔 갓김치지❤️💚 #남매 #먹방,계란밥엔 갓김치지❤️   #남매 #갓김치 #먹방 #계란밥 #남매 #땡깡 #진절미 •instagram• 땡깡 @pactrosbims 진절미 ...,땡절스 DanJerous,Unknown,1062978
🌈레인보우버블젬 이모티콘 먹방 모음 / Bubblegem Emoji Challenge MUKBANG ASMR,레인보우버블젬 #레드루비 #오렌지앰버 #옐로우골드 #그린리프 #블루사파이어 #인디고킨 #퍼플스타 레인보우버블젬 이모티콘 ...,꾸러미키즈,Unknown,186095
#스케치코미디 #유머 #먹방 #유튜브 #또오숏,,짤짤이,Unknown,710670
친구랑 호치민 먹방쇼,,댝생,Unknown,157412
회사 점심시간에 대창 구워먹기 #대창 #먹방 #점심메뉴추천,shorts #대창구이 #통대창 회사에서 리뷰하는 사람은 처음이지? Music provided by 브금대통령 Track : Vinyl records ...,리뷰하는 회사원,Unknown,3409940
먹다 매워서 처음으로 눈물 흘린 날,아프리카tv 맵하니 방송국 https://bj.afreecatv.com/krpssamq 이메일 rpssamo@naver.com 각국어 번역 자막 제작 : 컨텐츠 제작의 ...,맵하니Maphany,Unknown,126257
다진마늘 듬뿍 칼칼하고 시원한 곤이 알탕 넣은 신라면 7개 매운 김치 라면 먹방 Spicy Fish Roe and Intestines noodles ramen mukbang,안녕하세요 다진 마늘 매운 김치 다대기 넣고 칼칼하고 시원한 곤이 알탕 라면 끓였습니다. 매운 총각김치 더매운 섞박지도 꺼냈습니다 ...,면상호[NoodleFighter],Unknown,52937
악플 먹방😈 #shorts 악플 씹어먹기🔪,악플읽기 #악플 #먹방 #제리얌.,제리얌 Jelly Yum,Unknown,126752
엄마가 없는날 아이들의 식사,어릴때 엄마 없는날 먹은 시커먼 밥의 정체 #동원 #동원맛참 #맛참 #밥엔맛참 #초간편반찬.,김켈리 Kellyfornia,Unknown,1132481
ASMR SWEET EMOJI FOOD 달콤한 이모지 먹방 (sped up),,당비 Dangbee EATING,Unknown,1453456
가마솥에 골프채갈비탕! #먹방 #shorts #요리,shorts #갈비탕 #골프채갈비.,흥삼이네 Heungsam's Family,Unknown,21767
"[먹방브이로그] 여름 네가 기어코 왔구나..(엽떡, 허니콤보, 크러시 맥주, 공간춘 점보라면, 냉소바, 치즈돈까스, 간장국수, 대창)",먹방브이로그 #브이로그 #먹방 ✉️ : juseunghee517@gmail.com.,승희얌 Yum,Unknown,24933
"ASMR DIY FRUITS CAKE, SOUR LEMON LIME 직접 만든 화과자, 레몬 라임, 수박화채 다양 과일 코하쿠토 무지개 EATING SOUNDS MUKBANG 먹방","ASMR MUKBANG (watermelon, orange, peach, blueberry, apple, corn)Fruit mochi, Wasashi, Mangosteen, Gold kiwi, Watermelon, ...",Hongyu ASMR 홍유,Unknown,3449745
하이디라오 VS 마라탕 비싼 이유? (입문자 필수 시청ㅋ) #shorts,,미나상 ,Unknown,127506
행성 초콜렛 먹방🪐 줄게 내 갤럭시~,shorts #행성초콜렛 #초콜렛 #이모티콘 #이모티콘먹방 #먹방 #맛평가 #asmr.,현오 HyunO,Unknown,326662
역대급 말없이 촬영한 맛집..,shorts #먹을텐데 #전라도맛집 #담양맛집.,성시경 SUNG SI KYUNG,Unknown,626002
500원으로 마라탕 먹기,또 보고 싶은 메뉴가 있다면 추천해주세요!,제로크림,Unknown,1317425
백종원의 빽라면 사먹을만 할까!?,먹방 #라면 #빽라면 #라면먹방 #야식 #백종원 #백종원라면.,잇츠오니 ! (Eat's Oni ),Unknown,160828
🔟 40kg 호소인의 7H맛있는 샐러드파스타 레시피🧑🏻‍🍳 #shorts #다이어트식단,,유정 YUJEONG,Unknown,96809
요즘 일본에서 핫한 편의점 음식 먹방,,홀로나나 NANA,Unknown,382688
메이커 양념통닭 파김치 짜장밥 오짬! 3분 짜장 참 오랜만인듯합니다 메이커통닭은 많이 비싸졌네요...먹방MUKBANG,항상 시청해주시는 모든분들 정말 감사합니다 인스타그램 : rasamgyeo 광고 협찬은 진행하지 않고 있습니다 감사합니다 #먹방 #집밥 ...,엽동,Unknown,75435
칼칼한 닭개장에 밥말아서 총각김치 통비엔나소세지랑 먹방,안녕하세요 빵떡이에요~   오늘은 더미식 닭개장에 밥 듬뿍 말아서 아삭한 총각김치와 통비엔나 소세지랑 먹으려고 준비해왔어요 ...,배고픈 빵떡이 [Hungry B.D.],Unknown,8638
364시간 만에 엽떡을 잘못 시키면 생기는 일,,띠미 ddimmi,Unknown,1075229
한달동안 집에 안 들어갔더니 관리비가..;;,,댝생,Unknown,386208
