title,description,channelTitle,channelSubscribers,viewCount
두 배 더 세련돼 보이는 여름 롱팬츠 패션,"누군가는 스키니가 돌아왔다고하고, 누군가는 아직 통넓은 팬츠가 트렌드라고하니 요즘 어떤 스타일을 입어야할지 조금 난감하죠 ...",미드라이프 GML,Unknown,45954
옷 잘 입는 언니들의 기본템 코디  #패션 #룩북 #코디 #데일리룩 #shorts,,momo.j,Unknown,3529
레이어드 원피스 활용법!!🤍💭 #룩북,,행자씨 haengzassi,Unknown,13833
여기저기 잘 어울이는 블랙아이템 여름 코디 #dailyfashion #룩북 #데일리룩,,오오.예(오래오래 예쁘게),Unknown,5688
시원하고 편안한 여름 일상 코디 #dailyfashion #ootd #룩북,,패션No.5,Unknown,5709
여름 직장인룩 코디 추천  #룩북 #오피스룩 #출근룩코디 #출근룩  #오늘의데일리룩 #오늘뭐입지 #데일리룩 #fashion,여름 직장인룩 코디 추천 편하고 예쁜옷 . . . #룩북 #오피스룩 #출근룩코디 #출근룩 #오늘의데일리룩 #오늘뭐입지 #데일리룩 ...,AFUSE,Unknown,4506
[ 159 ] 여수 여행 코디 추천 💕 #룩북 #스타일 #패션,,예린짱,Unknown,21688
여름데일리룩코디하기: 장마철 레인부츠룩,୨୧˚ 옷 정보 ˚୨୧⋆｡˚ ⋆ [상의] 쓰리타임즈 | Jewel tank top White ...,윤비누YOONSOAP,Unknown,53654
🍉 달달하게 말아본 수박바코디 ☺️ #ootd #코디룩북 #코디추천,,영쥬륵,Unknown,5971
중년여성들을 위한 세련되고 스타일리시한 여름 패션 룩북💎 #shorts,안녕하세요~ 오늘은 세련되고 우아한 여름 패션을 찾는 여러분을 위해 준비했습니다. 중년여성을 위한 스타일리시한 패션으로 편안 ...,트렌디 우먼,Unknown,2666
#스팽등 #자수원피스 55_66프리  #룩북 #빈티지패션#봄신상  #명품 #원피스 #구제옷 #구제의류 #빈티지 #구제 #빈티지샵 #빈티지패션 #룩북 #여성의류,,빈티지 편집샵 예쁜옷쟁이,Unknown,260
시원해보이고 코디 편한 블루셔츠 여름 코디 #dailyfashion #ootd #룩북,,오오.예(오래오래 예쁘게),Unknown,9323
에펠탑 부수는 무채색 코디 추천🇫🇷 #룩북 #lookbook #데일리룩 #데이트룩 #여행룩 #꾸안꾸룩 #ootd #outfit #fashion #패션 #오늘뭐입지,,예모마일,Unknown,26720
옷 잘입는 그녀들의 세련되고 예쁜 패션코디 데일리 룩북 여름 패션 #중년패션코디 #옷잘입는법 #데일리룩,럭셔리 패션코디❤️라퐁퐁으로 오세요 라퐁퐁 - https://m.smartstore.naver.com/lapompon.,라퐁퐁 LA POMPON  ,Unknown,8642
예쁘게 옷잘입는 그녀들의 패션코디 세련된 스타일 여름 룩북 #중년패션코디 #옷잘입는법 #데이리룩,럭셔리 패션코디❤️라퐁퐁으로 오세요 라퐁퐁 - https://m.smartstore.naver.com/lapompon.,라퐁퐁 LA POMPON  ,Unknown,12807
편안하면서도 너무 예쁘고 엣지있는 여름 원피스 코디 룩북 #중년패션코디 #옷잘입는법 #데일리룩 #중년여성코디 #50대여성 #40대여성 #60대여성,,뷰리유Beauty_you,Unknown,27195
지그재그 갓성비 여름코디 모음 ・・・ 🫧 #lookbook,여름코디 #여름룩북 #fashion #ootd #룩북 #코디 #지그재그하울 #지그재그 #인쇼스타일 #레이어드룩 #오오티디.,아네딘,Unknown,57693
옷 잘입는 그녀들의 세련된 데일리 패션코디 여름 스타일 룩북 #중년패션코디 #옷잘입는법 #데일리룩,럭셔리 패션코디❤️라퐁퐁으로 오세요 라퐁퐁 - https://m.smartstore.naver.com/lapompon.,라퐁퐁 LA POMPON  ,Unknown,34401
혹시 ZARA세일 기다리시나요...?이거 사세요♥️ #데일리룩#출근룩#직장인코디#ootd,자라세일 #자라 #ZARA #데일리룩 #출근룩 #직장인코디 #여름출근룩 #룩북.,꼬민지,Unknown,145771
5만원대 이하 쇼핑몰💙직장인 출근룩코디 뚝딱 #여름룩북,여름옷 #여름코디 #패션하울 #룩북 #출근룩 #데일리룩 #직장인 #직장인코디.,꼬민지,Unknown,518250
예뻐서 자꾸 보게되는 세련된 중년 여름 패션 코디 룩북 #shorts #40대여성 #60대여성 #50대여성 #룩북 #데일리룩 #중년패션코디 #중년여성코디 #옷잘입는법 #코디룩,shorts #40대여성 #60대여성 #50대여성 #룩북 #데일리룩 #중년패션코디 #중년여성코디 #옷잘입는법 #코디룩 #구독 #구독과좋아요 ...,그로우패션,Unknown,21601
미니백보다는 빅백! 요즘 인기 있는 디자이너 빅백 3종,,도래Dorae,Unknown,37664
흔하지않은 트렌디한 쇼핑몰 추천🎀치마사면 벨트주는? 데일리룩~ 출근룩까지 딱 골라옴🤍#브랜드추천 #출근룩 #여름코디?,본 영상은 제너널아이디어의 광고를 포함하고 있습니다. 오늘의 브랜드 추천은 제너럴아이디어(@generalidea_official) 이라는 곳 ...,루피타,Unknown,351760
오늘은 청순하고 깔끔하게~💙 #ootd #데일리룩 #워킹맘 #룩북 #출근룩 #fashion #오오티디 #lookbook,,러브니,Unknown,13838
치앙마이 부수는 레이스 포인트 코디추천🏝️🥭 #룩북 #lookbook #여행룩 #휴가룩 #휴양지룩 #동남아 #ootd #outfit #fashion #패션 #오늘뭐입지 #여름,,예모마일,Unknown,74271
여름에도 청바지 꼭 입어야겠어요?! 그럼 이거 입어봐요👖,본편이 궁금하다면? 햅삐김성은의 햅삐햅삐한 영상들을 재밌게 보셨다면 구독과 좋아요 한번씩 부탁드려요   #김성은 #여름패션 ...,햅삐 김성은 KIM SUNG EUN,Unknown,17106
꾸민듯 안꾸민듯 심플하고 세련된 여름 데일리룩북. Summer Outfit Inspo. #여자출근룩 #꾸안꾸 #여름데일리룩 #summeroutfit #outfitideas,,수스 인스포.  Soos Inspo.   ,Unknown,67848
캡소매가 그렇게 인기라길래.. #투영 #릴스영상 #룩북 #lookbook #여름룩북 #fashion #스커트 #데일리룩 #ootd #여름코디,,우봉이,Unknown,8163
심플하면서 은은하게 매력적이어서 다시보게되는 여름 패션 코디 모음 #중년패션코디 #룩북 #옷잘입는법 #데일리룩 #중년여성코디 #50대여성 #40대여성 #60대여성,,뷰리유Beauty_you,Unknown,10625
#여름코디 #룩북 #여름룩북 #반팔티 #버뮤다팬츠 #koreanfashion #koreanstyle #lookbook #개강룩 #데일리룩 #ootd #반팔추천 #반바지 #여행룩,,카멜,Unknown,7585
159cm 일주일 여름 #룩북 🔥🍑,,행자씨 haengzassi,Unknown,14308
small girl의 여친코디💚 #이영지 #smallgirl #코디 #룩북 #여름코디 #여름코디추천,,찬이 kimchan,Unknown,21231
#코코젠 #룩북 #데일리룩 #여름 #ootd #lookbook #블라우스,,코코젠,Unknown,151
#데이트룩 #ootd #룩북 #워킹맘 #데일리룩 #출근룩 #fashion #오오티디 #lookbook,,러브니,Unknown,16605
자라 여름신상 입어보기 best4 #자라하울 #자라신상 #자라룩북 #자라 #룩북 #코디추천 #오오티디 #lookbook #패션 #코디,,서욤 seoyommy,Unknown,6205
